287,2021-05-30 09-47-50,911,316,682
288,2021-05-30 09-48-00,919,322,684
289,2021-05-30 09-48-10,922,327,681
290,2021-05-30 09-48-20,924,332,678
291,2021-05-30 09-48-30,928,335,678
292,2021-05-30 09-48-40,930,338,677
293,2021-05-30 09-48-50,931,339,677
294,2021-05-30 09-49-00,928,338,674
295,2021-05-30 09-49-10,892,331,641
296,2021-05-30 09-49-20,860,325,611
297,2021-05-30 09-49-30,784,315,537
298,2021-05-30 09-49-40,751,307,507
299,2021-05-30 09-49-50,712,297,474
300,2021-05-30 09-50-00,585,285,343
301,2021-05-30 09-50-10,659,287,425
302,2021-05-30 09-50-20,611,277,381
303,2021-05-30 09-50-30,543,268,314
304,2021-05-30 09-50-40,509,263,281
305,2021-05-30 09-50-50,583,265,362
306,2021-05-30 09-51-00,549,262,326
307,2021-05-30 09-51-10,524,255,306
308,2021-05-30 09-51-20,508,250,294
309,2021-05-30 09-51-30,579,250,374
310,2021-05-30 09-51-40,525,243,320
311,2021-05-30 09-51-50,433,234,226
312,2021-05-30 09-52-00,526,236,330
313,2021-05-30 09-52-10,515,234,319
314,2021-05-30 09-52-20,609,238,422
315,2021-05-30 09-52-30,554,233,364
316,2021-05-30 09-52-40,511,233,315
317,2021-05-30 09-52-50,541,236,346
318,2021-05-30 09-53-00,607,244,412
319,2021-05-30 09-53-10,740,257,549
320,2021-05-30 09-53-20,778,260,587
321,2021-05-30 09-53-30,793,267,597
322,2021-05-30 09-53-40,917,278,723
323,2021-05-30 09-53-50,902,277,707
324,2021-05-30 09-54-00,911,280,715
325,2021-05-30 09-54-10,926,280,731
326,2021-05-30 09-54-20,914,277,720
327,2021-05-30 09-54-30,899,271,710
328,2021-05-30 09-54-40,840,262,653
329,2021-05-30 09-54-50,753,252,567
330,2021-05-30 09-55-00,715,245,531
331,2021-05-30 09-55-10,722,248,536
332,2021-05-30 09-55-20,845,258,662
333,2021-05-30 09-55-30,893,265,708
334,2021-05-30 09-55-40,898,268,711
335,2021-05-30 09-55-50,896,270,706
336,2021-05-30 09-56-00,881,269,690
337,2021-05-30 09-56-10,892,271,700
338,2021-05-30 09-56-20,890,271,697
339,2021-05-30 09-56-30,890,271,697
340,2021-05-30 09-56-40,889,270,697
341,2021-05-30 09-56-50,889,270,697
342,2021-05-30 09-57-00,884,269,692
343,2021-05-30 09-57-10,882,269,690
344,2021-05-30 09-57-20,880,269,688
345,2021-05-30 09-57-30,881,268,689
346,2021-05-30 09-57-40,879,267,687
347,2021-05-30 09-57-50,878,267,687
348,2021-05-30 09-58-00,881,267,690
349,2021-05-30 09-58-10,882,267,691
350,2021-05-30 09-58-20,885,266,695
351,2021-05-30 09-58-30,884,266,693
352,2021-05-30 09-58-40,883,266,692
353,2021-05-30 09-58-50,881,266,690
354,2021-05-30 09-59-00,883,266,692
355,2021-05-30 09-59-10,883,266,691
356,2021-05-30 09-59-20,880,266,688
357,2021-05-30 09-59-30,878,266,685
358,2021-05-30 09-59-40,877,266,684
359,2021-05-30 09-59-50,872,265,679
360,2021-05-30 10-00-00,871,265,678
361,2021-05-30 10-00-10,869,265,676
362,2021-05-30 10-00-20,872,265,678
363,2021-05-30 10-00-30,870,265,676
364,2021-05-30 10-00-40,867,265,672
365,2021-05-30 10-00-50,866,265,672
366,2021-05-30 10-01-00,864,265,669
367,2021-05-30 10-01-10,865,265,670
368,2021-05-30 10-01-20,864,264,670
369,2021-05-30 10-01-30,865,264,670
370,2021-05-30 10-01-40,862,264,667
371,2021-05-30 10-01-50,861,264,666
372,2021-05-30 10-02-00,858,264,663
373,2021-05-30 10-02-10,857,264,661
374,2021-05-30 10-02-20,858,264,662
375,2021-05-30 10-02-30,862,264,667
376,2021-05-30 10-02-40,864,263,669
377,2021-05-30 10-02-50,866,263,671
378,2021-05-30 10-03-00,867,262,673
379,2021-05-30 10-03-10,866,262,672
380,2021-05-30 10-03-20,864,262,670
381,2021-05-30 10-03-30,863,262,669
382,2021-05-30 10-03-40,867,262,673
383,2021-05-30 10-03-50,870,261,677
384,2021-05-30 10-04-00,863,261,669
385,2021-05-30 10-04-10,863,260,669
386,2021-05-30 10-04-20,862,260,668
387,2021-05-30 10-04-30,858,260,664
388,2021-05-30 10-04-40,860,260,666
389,2021-05-30 10-04-50,865,260,672
390,2021-05-30 10-05-00,862,260,668
391,2021-05-30 10-05-10,862,260,668
392,2021-05-30 10-05-20,861,260,667
393,2021-05-30 10-05-30,861,260,666
394,2021-05-30 10-05-40,858,260,662
395,2021-05-30 10-05-50,859,261,662
396,2021-05-30 10-06-00,864,262,667
397,2021-05-30 10-06-10,864,262,667
398,2021-05-30 10-06-20,868,262,670
399,2021-05-30 10-06-30,870,263,671
400,2021-05-30 10-06-40,869,263,670
401,2021-05-30 10-06-50,869,264,669
402,2021-05-30 10-07-00,871,264,671
403,2021-05-30 10-07-10,875,264,676
404,2021-05-30 10-07-20,878,264,678
405,2021-05-30 10-07-30,879,264,679
406,2021-05-30 10-07-40,879,265,678
407,2021-05-30 10-07-50,879,265,678
408,2021-05-30 10-08-00,879,265,677
409,2021-05-30 10-08-10,882,266,679
410,2021-05-30 10-08-20,885,267,682
411,2021-05-30 10-08-30,883,267,680
412,2021-05-30 10-08-40,884,267,680
